EXAMPLE,7,Player
RACIAL,6,Player
UNYIELDING,0,CPU
FORCING,0,CPU
NEIGHBORS,0,CPU
WASTES,0,CPU
WHISPERS,5,CPU
LATEST,0,CPU
JOURNEY,6,CPU
SHADOW,0,CPU
MANHATTAN,9,Player
FRANCE,0,CPU
JUMPING,1,CPU
